Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_to_City_km,Price_Lakhs
3724.7717667599436,1.0,2.0,32.0,,137.10937355810657
1998.6727232917929,2.0,3.0,34.0,20.241547903069403,141.96262311198768
1641.489249025996,4.0,1.0,38.0,15.630812742323744,73.05293044981525
746.852643040954,,2.0,26.0,24.841896471447388,9.655592706499874
,4.0,1.0,8.0,39.731175811739845,27.7402744535743
2325.7182685485755,1.0,3.0,4.0,34.723840840171846,
286.66037830346295,4.0,3.0,40.0,16.972702475260824,34.39500992581524
4225.770211566826,2.0,2.0,10.0,2.6768993411516835,163.16208019625446
,1.0,3.0,30.0,16.938999817441292,244.46471969602328
,3.0,3.0,45.0,30.588481327040668,18.45027908103721
,4.0,3.0,42.0,1.067193747472448,176.09056042801075
1452.6455155315543,3.0,2.0,32.0,33.47403862943974,68.70316825563062
2245.694813062144,1.0,3.0,28.0,11.152978602186348,38.6801582764175
1180.5490016576746,5.0,3.0,2.0,,46.692580237551866
1278.0090201769672,1.0,1.0,25.0,36.90665161739637,3.747593205113688
1282.8243621907413,5.0,1.0,,,28.828375288887194
2602.965041362728,2.0,3.0,14.0,19.649358833062045,127.10824355752192
2593.3930444868934,2.0,3.0,3.0,,
2002.0269489394386,3.0,1.0,11.0,15.153576633008452,71.61418341161867
6202.472118315479,,,21.0,4.177290926724406,457.3586704375439
1868.684287948121,3.0,1.0,23.0,17.530847307079828,171.1755132981503
2245.3660140753996,3.0,3.0,32.0,20.23276891716097,79.83079411991577
1032.0830657988045,1.0,2.0,,9.513933970333179,90.76326507651528
2087.914522391052,5.0,2.0,22.0,33.200404785874255,120.22166807940323
873.0596661254938,1.0,,,,9.821789627179742
1181.1242487732948,3.0,3.0,28.0,10.304173572674914,71.62957529030163
1953.5525979001507,2.0,2.0,14.0,,
,,1.0,,23.535251731506268,40.31337330385576
1429.9656399056669,1.0,,,,94.731411969464
1069.1225520701573,4.0,,,28.893758306490984,71.50603556374611
,5.0,2.0,,39.54490821325503,99.72553825198506
276.508997017224,4.0,3.0,,,231.23189851371777
614.2334477450764,4.0,1.0,16.0,29.593281238955385,-31.350711038504777
,1.0,3.0,41.0,17.828897153847475,
,4.0,1.0,12.0,16.417178780101633,
1413.182158604892,1.0,2.0,42.0,12.26976267112313,108.08812963151672
5761.164849657387,3.0,1.0,7.0,14.944536882475498,403.1206186009756
1844.1113555511424,4.0,2.0,,5.596287414018772,162.01772747123226
1060.231828495474,,3.0,39.0,18.760335426070057,70.39631968971469
1641.8136619036454,4.0,1.0,34.0,,98.61205190868749
1097.3167409671921,1.0,1.0,26.0,11.902156577875047,84.29802145669261
636.1652529396964,1.0,2.0,25.0,18.693213488723735,-9.488186057478266
1304.5501031224494,1.0,2.0,45.0,,
1786.9029312025289,1.0,2.0,3.0,26.724381181799796,94.41034144639866
1669.2945254999008,,3.0,,23.757596742786312,156.97508791412983
1494.0847527605902,3.0,,28.0,37.79593800776432,-52.469760624575656
,3.0,2.0,40.0,21.51638610044498,54.93879805501271
1706.4560801543894,3.0,3.0,,24.68655607581982,70.41455143685434
1989.3680029686734,1.0,,48.0,,6.078612583354797
